date,sales
2023-01-01,212
2023-01-02,499
2023-01-03,381
2023-01-04,404
2023-01-05,213
2023-01-06,203
2023-01-07,474
2023-01-08,471
2023-01-09,416
2023-01-10,458
2023-01-11,416
2023-01-12,252
2023-01-13,396
2023-01-14,254
2023-01-15,385
2023-01-16,408
2023-01-17,396
2023-01-18,235
2023-01-19,313
2023-01-20,485
2023-01-21,418
2023-01-22,245
2023-01-23,237
2023-01-24,220
2023-01-25,338
2023-01-26,270
2023-01-27,221
2023-01-28,355
2023-01-29,405
2023-01-30,345
2023-01-31,391
2023-02-01,418
2023-02-02,319
2023-02-03,476
2023-02-04,378
2023-02-05,402
2023-02-06,239
2023-02-07,466
2023-02-08,408
2023-02-09,497
2023-02-10,421
2023-02-11,250
2023-02-12,394
2023-02-13,246
2023-02-14,301
2023-02-15,373
2023-02-16,325
2023-02-17,253
2023-02-18,395
2023-02-19,275
2023-02-20,493
2023-02-21,216
2023-02-22,322
2023-02-23,442
2023-02-24,466
2023-02-25,262
2023-02-26,486
2023-02-27,465
2023-02-28,361
2023-03-01,488
2023-03-02,275
2023-03-03,201
2023-03-04,346
2023-03-05,277
2023-03-06,222
2023-03-07,228
2023-03-08,207
2023-03-09,299
2023-03-10,337
2023-03-11,498
2023-03-12,298
2023-03-13,291
2023-03-14,321
2023-03-15,466
2023-03-16,330
2023-03-17,473
2023-03-18,259
2023-03-19,229
2023-03-20,388
2023-03-21,489
2023-03-22,493
2023-03-23,260
2023-03-24,318
2023-03-25,254
2023-03-26,268
2023-03-27,491
2023-03-28,207
2023-03-29,328
2023-03-30,370
2023-03-31,439
2023-04-01,498
2023-04-02,338
2023-04-03,435
2023-04-04,282
2023-04-05,226
2023-04-06,421
2023-04-07,458
2023-04-08,285
2023-04-09,402
2023-04-10,256
